epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
63,11710.9,1.51742,2.01368,0.02001,0.99934,14.4059,0.60863,0.48208,0.52851,0.33792,1.44145,1.64565,0.0237,0,0,14.4059,0,14.4059,0,0.0674386,0.210537,3.34277,3.34277,0,1,0.0084655,0.0084655,0.0084655,0.00423275,0.016931
64,11892.5,1.52677,2.00446,0.01996,0.99944,14.4005,0.61046,0.48316,0.53003,0.33905,1.4389,1.64252,0.02365,0,0,14.4005,0,14.4005,0,0.0674193,0.210809,3.34277,3.34277,0,1,0.00844075,0.00844075,0.00844075,0.00422038,0.0168815
65,12076.5,1.51098,1.99868,0.02001,0.99958,14.3931,0.61106,0.48397,0.53127,0.34042,1.4355,1.6402,0.02358,0,0,14.393,0,14.393,0,0.0673752,0.211711,3.34277,3.34277,0,1,0.008416,0.008416,0.008416,0.004208,0.016832
66,12258.3,1.51918,1.99647,0.02001,0.99947,14.3553,0.6068,0.48954,0.53308,0.34158,1.43428,1.63712,0.02356,0,0,14.3553,0,14.3553,0,0.0671991,0.211047,3.34277,3.34277,0,1,0.00839125,0.00839125,0.00839125,0.00419563,0.0167825
67,12439.3,1.51444,1.98662,0.02004,0.99962,14.368,0.59941,0.49298,0.53383,0.34245,1.43284,1.63483,0.02353,0,0,14.368,0,14.368,0,0.0672695,0.211941,3.34277,3.34277,0,1,0.0083665,0.0083665,0.0083665,0.00418325,0.016733
68,12621.1,1.51343,1.97879,0.01985,0.9994,14.3323,0.60639,0.48876,0.53466,0.34349,1.43141,1.63176,0.0235,0,0,14.3323,0,14.3323,0,0.0670943,0.212025,3.34277,3.34277,0,1,0.00834175,0.00834175,0.00834175,0.00417088,0.0166835
69,12803.7,1.50616,1.97617,0.01993,0.99968,14.3119,0.60851,0.49058,0.53534,0.34423,1.42902,1.63137,0.02343,0,0,14.3119,0,14.3119,0,0.0670013,0.212494,3.34277,3.34277,0,1,0.008317,0.008317,0.008317,0.0041585,0.016634
70,12987,1.50907,1.97308,0.01994,0.99954,14.2875,0.59751,0.49501,0.53592,0.34489,1.43008,1.62622,0.02346,0,0,14.2875,0,14.2875,0,0.066885,0.211764,3.34277,3.34277,0,1,0.00829225,0.00829225,0.00829225,0.00414612,0.0165845
71,13170.8,1.5105,1.96237,0.01989,0.99957,14.2879,0.60039,0.49472,0.53717,0.34562,1.42846,1.62383,0.02342,0,0,14.2879,0,14.2879,0,0.0668868,0.212424,3.34277,3.34277,0,1,0.0082675,0.0082675,0.0082675,0.00413375,0.016535
72,13353.6,1.49933,1.96477,0.0198,0.9997,14.3104,0.61067,0.49151,0.53828,0.34657,1.42675,1.6225,0.02339,0,0,14.3104,0,14.3104,0,0.0669904,0.213041,3.34277,3.34277,0,1,0.00824275,0.00824275,0.00824275,0.00412138,0.0164855
